"filename", "language", "JSON with Comments", "JavaScript", "TypeScript", "HTML", "JSON", "Prisma", "Python", "MS SQL", "comment", "blank", "total"
"e:\Workspace\Project-laptop-shop\sever\backup.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 8, 62
"e:\Workspace\Project-laptop-shop\sever\backup.routes.ts", "TypeScript", 0, 0, 619, 0, 0, 0, 0, 0, 106, 68, 793
"e:\Workspace\Project-laptop-shop\sever\backup_2025-08-02T17-43-52-445Z.json", "JSON", 0, 0, 0, 0, 115432, 0, 0, 0, 0, 0, 115432
"e:\Workspace\Project-laptop-shop\sever\backup_2025-08-04T05-44-26-926Z.json", "JSON", 0, 0, 0, 0, 3820, 0, 0, 0, 0, 1, 3821
"e:\Workspace\Project-laptop-shop\sever\demo.py", "Python", 0, 0, 0, 0, 0, 0, 102, 0, 8, 14, 124
"e:\Workspace\Project-laptop-shop\sever\dist\app.js", "JavaScript", 0, 149, 0, 0, 0, 0, 0, 0, 23, 1, 173
"e:\Workspace\Project-laptop-shop\sever\dist\client.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\Workspace\Project-laptop-shop\sever\dist\config\Cache.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"e:\Workspace\Project-laptop-shop\sever\dist\config\multer.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 1, 1, 26
"e:\Workspace\Project-laptop-shop\sever\dist\config\passport.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"e:\Workspace\Project-laptop-shop\sever\dist\config\socket.config.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Workspace\Project-laptop-shop\sever\dist\config\vnpay.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 18, 1, 38
"e:\Workspace\Project-laptop-shop\sever\dist\controllers\auth.controllers.js", "JavaScript", 0, 114, 0, 0, 0, 0, 0, 0, 16, 1, 131
"e:\Workspace\Project-laptop-shop\sever\dist\controllers\cart.controllers.js", "JavaScript", 0, 257, 0, 0, 0, 0, 0, 0, 22, 1, 280
"e:\Workspace\Project-laptop-shop\sever\dist\controllers\category.controllers.js", "JavaScript", 0, 157, 0, 0, 0, 0, 0, 0, 9, 1, 167
"e:\Workspace\Project-laptop-shop\sever\dist\controllers\file.controllers.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 1, 1, 25
"e:\Workspace\Project-laptop-shop\sever\dist\controllers\news.controllers.js", "JavaScript", 0, 188, 0, 0, 0, 0, 0, 0, 18, 1, 207
"e:\Workspace\Project-laptop-shop\sever\dist\controllers\order.controllers.js", "JavaScript", 0, 189, 0, 0, 0, 0, 0, 0, 8, 1, 198
"e:\Workspace\Project-laptop-shop\sever\dist\controllers\product.controllers.js", "JavaScript", 0, 179, 0, 0, 0, 0, 0, 0, 9, 1, 189
"e:\Workspace\Project-laptop-shop\sever\dist\controllers\review.controllers.js", "JavaScript", 0, 136, 0, 0, 0, 0, 0, 0, 8, 1, 145
"e:\Workspace\Project-laptop-shop\sever\dist\controllers\user.controllers.js", "JavaScript", 0, 133, 0, 0, 0, 0, 0, 0, 6, 1, 140
"e:\Workspace\Project-laptop-shop\sever\dist\middleware\auth.middleware.js", "JavaScript", 0, 168, 0, 0, 0, 0, 0, 0, 40, 1, 209
"e:\Workspace\Project-laptop-shop\sever\dist\routes\auth.routes.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 2, 1, 26
"e:\Workspace\Project-laptop-shop\sever\dist\routes\user.routes.js", "JavaScript", 0, 484, 0, 0, 0, 0, 0, 0, 107, 1, 592
"e:\Workspace\Project-laptop-shop\sever\dist\utils\hashPassword.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 5, 1, 22
"e:\Workspace\Project-laptop-shop\sever\dist\utils\jwt.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 2, 1, 35
"e:\Workspace\Project-laptop-shop\sever\nodemon.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"e:\Workspace\Project-laptop-shop\sever\package-lock.json", "JSON", 0, 0, 0, 0, 2373, 0, 0, 0, 0, 1, 2374
"e:\Workspace\Project-laptop-shop\sever\package.json", "JSON", 0, 0, 0, 0, 51, 0, 0, 0, 0, 1, 52
"e:\Workspace\Project-laptop-shop\sever\prisma\migrations\20250802174429_add_notification\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 132, 26, 38, 196
"e:\Workspace\Project-laptop-shop\sever\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 151, 0, 0, 0, 25, 176
